feature,single_feature_auroc,single_feature_auprc,missing_rate,leaky_name_score
lab_51006,0.7809392704903116,0.10648965536239785,0.08010794687877282,0.0
lab_51301,0.7302460250030837,0.09654646382521144,0.056956182089340245,0.0
lab_51277,0.7273184886768004,0.06286124961051437,0.05766635892337192,0.0
lab_50931,0.7147646348319523,0.06144848836930558,0.09324621830835877,0.0
lab_50882,0.7072164457419079,0.17853479441733675,0.09104467012286059,0.0
anchor_age,0.7007600908151995,0.05110980396057639,0.0,0.0
lab_51274,0.6997440784687616,0.08636315431655886,0.390739294084227,0.0
lab_50912,0.6887578534100683,0.06116280751529928,0.0696683474185072,0.0
lab_51222,0.687208035117816,0.06329331919173621,0.054896669270648395,0.0
lab_51279,0.6800465881810783,0.06263712738024119,0.05752432355656559,0.0
lab_50868,0.6779335511845098,0.13950217379115373,0.09104467012286059,0.0
lab_51275,0.6704468337419909,0.07537748562147292,0.41438818265748173,0.0
lab_51221,0.6662194366835923,0.06961069462207516,0.03643207158582487,0.0
lab_52172,0.6537079209271065,0.05053402799833415,0.5309992188054826,0.0
lab_50960,0.6478679108636685,0.06639707458432725,0.15325616078403523,0.0
lab_50893,0.6429575068076797,0.0672683131950379,0.17015836943398907,0.0
lab_50820,0.6300510051835662,0.27655682545801014,0.8033520346566295,0.0
lab_51265,0.6189450936058495,0.055535288208288014,0.05106171436687735,0.0
lab_51249,0.6124765257690368,0.04434939445277635,0.05745330587316242,0.0
lab_51250,0.5995654443036341,0.03990159297266479,0.05752432355656559,0.0
lab_50970,0.5887887724274827,0.0940785438235565,0.1755557133726298,0.0
lab_50971,0.5702309502010449,0.0645506679928006,0.08017896456217598,0.0
lab_50902,0.502712894431198,0.0754681262108223,0.08465307861657553,0.0
lab_51248,0.4981660279993177,0.02694316526068818,0.05752432355656559,0.0
lab_50983,0.4920216111515268,0.04375799435682918,0.08387188409914069,0.0
