feature,missing_rate_A,missing_rate_B,missing_delta_B_minus_A,psi_numeric,leaky_name_score,psi_abs
anchor_age,0.0,0.0,0.0,0.26991241966822344,0.0,0.26991241966822344
lab_50868,0.023809523809523808,0.09104467012286059,0.06723514631333678,0.16591684300619514,0.0,0.16591684300619514
lab_50893,0.06349206349206349,0.17015836943398907,0.10666630594192558,0.15881661280101103,0.0,0.15881661280101103
lab_51222,0.023809523809523808,0.054896669270648395,0.031087145461124586,0.15190822266219792,0.0,0.15190822266219792
lab_50912,0.007936507936507936,0.0696683474185072,0.06173183948199927,0.1503579867003638,0.0,0.1503579867003638
lab_51279,0.027777777777777776,0.05752432355656559,0.02974654577878781,0.14186381288150524,0.0,0.14186381288150524
lab_52172,0.5277777777777778,0.5309992188054826,0.00322144102770483,0.13964932997563867,0.0,0.13964932997563867
lab_50983,0.007936507936507936,0.08387188409914069,0.07593537616263275,0.13285858435532732,0.0,0.13285858435532732
lab_51221,0.015873015873015872,0.03643207158582487,0.020559055712809,0.1223001026690535,0.0,0.1223001026690535
lab_50902,0.007936507936507936,0.08465307861657553,0.0767165706800676,0.12067962064628612,0.0,0.12067962064628612
lab_51301,0.027777777777777776,0.056956182089340245,0.02917840431156247,0.11138296137195433,0.0,0.11138296137195433
lab_50931,0.023809523809523808,0.09324621830835877,0.06943669449883497,0.11052766815868947,0.0,0.11052766815868947
lab_50970,0.06349206349206349,0.1755557133726298,0.1120636498805663,0.10086972342714856,0.0,0.10086972342714856
lab_50971,0.007936507936507936,0.08017896456217598,0.07224245662566804,0.09512133873690641,0.0,0.09512133873690641
lab_51248,0.027777777777777776,0.05752432355656559,0.02974654577878781,0.09014679280147904,0.0,0.09014679280147904
lab_51277,0.027777777777777776,0.05766635892337192,0.029888581145594145,0.07630528903045657,0.0,0.07630528903045657
lab_51249,0.027777777777777776,0.05745330587316242,0.029675528095384644,0.07525148658652914,0.0,0.07525148658652914
lab_50820,0.5992063492063492,0.8033520346566295,0.20414568545028033,0.07401652177838913,0.0,0.07401652177838913
lab_50882,0.023809523809523808,0.09104467012286059,0.06723514631333678,0.06647458064634476,0.0,0.06647458064634476
lab_51006,0.007936507936507936,0.08010794687877282,0.07217143894226488,0.06506302202523889,0.0,0.06506302202523889
lab_51250,0.027777777777777776,0.05752432355656559,0.02974654577878781,0.04845067199063332,0.0,0.04845067199063332
lab_51265,0.015873015873015872,0.05106171436687735,0.03518869849386148,0.039402337411580564,0.0,0.039402337411580564
lab_51275,0.21428571428571427,0.41438818265748173,0.20010246837176746,0.0382534906764302,0.0,0.0382534906764302
lab_50960,0.047619047619047616,0.15325616078403523,0.10563711316498761,0.022449481924683178,0.0,0.022449481924683178
lab_51274,0.1865079365079365,0.390739294084227,0.20423135757629046,0.008174910635025578,0.0,0.008174910635025578
insurance,0.0,0.012854200695973298,0.012854200695973298,,0.0,
admission_location,0.0,0.0,0.0,,0.0,
admission_type,0.0,0.0,0.0,,0.0,
gender,0.0,0.0,0.0,,0.0,
race,0.0,0.0,0.0,,0.0,
marital_status,0.047619047619047616,0.02776791421063845,-0.019851133408409168,,0.0,
