env,model_i,model_j,diff_mean(AUROC_i - AUROC_j),ci_lo,ci_hi,significant(CI_excludes_0)
DEMO,LogReg_L2,RF_500,-0.03398915754807484,-0.06144067796610164,-0.013956997359486967,True
DEMO,LogReg_L2,ExtraTrees_800,-0.034002239973758265,-0.0603592513602887,-0.014063980592505196,True
DEMO,LogReg_L2,MLP_256x128,0.08468817366384754,-0.004066768932815417,0.22233768968273662,False
DEMO,LogReg_L2,XGB_600,-0.033728843328523016,-0.06062894854911667,-0.013202362054151389,True
DEMO,RF_500,ExtraTrees_800,-5.551115123125783e-20,-1.1102230246251565e-16,1.1102230246251565e-16,False
DEMO,RF_500,MLP_256x128,0.12111425958666501,0.02302832095381386,0.2718431257668842,True
DEMO,RF_500,XGB_600,3.524958103184872e-18,-1.1102230246251565e-16,1.1102230246251565e-16,False
DEMO,ExtraTrees_800,MLP_256x128,0.12185477071611403,0.024308989553267955,0.26859087831111944,True
DEMO,ExtraTrees_800,XGB_600,1.6930901125533637e-18,-1.1102230246251565e-16,1.1102230246251565e-16,False
DEMO,MLP_256x128,XGB_600,-0.11990550640190116,-0.27251135297999457,-0.022505679629499925,True
